seed,rotation,player_order,final_round,winner,Gen765,Basic_player,Demo,Null
1,0,Gen765 Basic_player Demo Null,200,Gen765,8028,6826,2036,403
1,1,Basic_player Demo Null Gen765,200,Gen765,7647,5002,1146,403
1,2,Demo Null Gen765 Basic_player,200,Gen765,8451,7507,1900,802
1,3,Null Gen765 Basic_player Demo,200,Gen765,11553,6100,1551,803
2,0,Gen765 Basic_player Demo Null,200,Gen765,13311,7824,1574,801
2,1,Basic_player Demo Null Gen765,200,Gen765,11604,6569,1248,1002
2,2,Demo Null Gen765 Basic_player,200,Gen765,10628,3787,1052,401
2,3,Null Gen765 Basic_player Demo,200,Gen765,12072,8556,2169,903
3,0,Gen765 Basic_player Demo Null,200,Gen765,15764,11059,1335,604
3,1,Basic_player Demo Null Gen765,200,Gen765,10938,5849,1665,506
3,2,Demo Null Gen765 Basic_player,200,Gen765,12048,6223,1541,702
3,3,Null Gen765 Basic_player Demo,200,Gen765,11136,4385,1010,1101
4,0,Gen765 Basic_player Demo Null,200,Gen765,10329,4948,1050,804
4,1,Basic_player Demo Null Gen765,200,Gen765,9561,5749,1625,1104
4,2,Demo Null Gen765 Basic_player,200,Gen765,10764,6921,2401,501
4,3,Null Gen765 Basic_player Demo,200,Gen765,8017,3730,1298,303
5,0,Gen765 Basic_player Demo Null,200,Gen765,10255,7677,2285,1504
5,1,Basic_player Demo Null Gen765,200,Gen765,10548,4194,701,404
5,2,Demo Null Gen765 Basic_player,200,Gen765,9753,4572,1132,302
5,3,Null Gen765 Basic_player Demo,200,Gen765,11248,7079,1464,401
6,0,Gen765 Basic_player Demo Null,200,Gen765,9809,5871,883,1106
6,1,Basic_player Demo Null Gen765,200,Gen765,12086,7037,1694,1002
6,2,Demo Null Gen765 Basic_player,200,Gen765,9898,3897,1391,303
6,3,Null Gen765 Basic_player Demo,200,Gen765,11512,5742,1772,505
7,0,Gen765 Basic_player Demo Null,200,Gen765,12710,7376,1626,902
7,1,Basic_player Demo Null Gen765,200,Gen765,9085,5391,1435,501
7,2,Demo Null Gen765 Basic_player,200,Gen765,10738,7960,1476,811
7,3,Null Gen765 Basic_player Demo,200,Gen765,14315,7806,1055,304
8,0,Gen765 Basic_player Demo Null,200,Gen765,10173,3061,1162,702
8,1,Basic_player Demo Null Gen765,200,Gen765,8416,2622,939,703
8,2,Demo Null Gen765 Basic_player,200,Gen765,9282,5468,1504,1502
8,3,Null Gen765 Basic_player Demo,200,Gen765,10891,4798,945,501
9,0,Gen765 Basic_player Demo Null,200,Gen765,9360,4893,1239,904
9,1,Basic_player Demo Null Gen765,200,Gen765,9676,4299,1257,902
9,2,Demo Null Gen765 Basic_player,200,Gen765,8367,4191,1847,503
9,3,Null Gen765 Basic_player Demo,200,Gen765,8572,6489,1860,1204
10,0,Gen765 Basic_player Demo Null,200,Gen765,9903,6971,1222,902
10,1,Basic_player Demo Null Gen765,200,Gen765,7872,5266,661,503
10,2,Demo Null Gen765 Basic_player,200,Gen765,13892,7549,1221,902
10,3,Null Gen765 Basic_player Demo,200,Gen765,11837,5100,1452,403
